"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","LCSC Price","JLCPCB Price","Unique ID","Device","3D Model Title","Name"
"1","2","10uF","C1,C3","C0805","10uF","FCC0805X106K100FT","FOJAN(富捷)","C5137471","LCSC","","0.0114","gge2,gge4","FCC0805X106K100FT","C0805_L2.0-W1.3-H1.3","10uF"
"2","2","100nF","C2,C6","C0805","100nF","TCC0805X7R104K500DT","CCTC(三环)","C282732","LCSC","","0.0019","gge3,gge9","TCC0805X7R104K500DT","C0805_L2.0-W1.3-H1.3","100nF"
"3","3","100pF","C4,C7,C11","C0805","100pF","0805CG101J500NT","FH(风华)","C82028","LCSC","","0.0016","gge5,gge10,gge19","0805CG101J500NT","C0805_L2.0-W1.3-H1.3","100pF"
"4","1","220pF","C5","C0603","220pF","GCM1885C2A221JA16D","muRata(村田)","C388907","LCSC","","0.0027","gge8","GCM1885C2A221JA16D","C0603_L1.6-W0.8-H0.8","220pF"
"5","5","22pF","C8,C9,C10,C12,C13","C0603","22pF","CL10C220JB8NNNC","SAMSUNG(三星)","C1653","LCSC","","0.0011","gge11,gge17,gge18,gge23,gge24","CL10C220JB8NNNC","C0603_L1.6-W0.8-H0.8","22pF"
"6","1","10pF","C14","C0603","10pF","CC0603JRNPO9BN100","YAGEO(国巨)","C106245","LCSC","","0.001","gge25","CC0603JRNPO9BN100","C0603_L1.6-W0.8-H0.8","10pF"
"7","1","1uF","C15","C0402","1uF","TCC0402X5R105M6R3AT","CCTC(三环)","C2887021","LCSC","","0.0008","gge27","TCC0402X5R105M6R3AT","C0402_L1.0-W0.5-H0.5","1uF"
"8","1","BAT15-099R","D1","SOT-143-4_L2.9-W1.3-P1.92-LS2.3-BR","","BAT15-099R","Infineon(英飞凌)","C4468492","LCSC","","0.1128","gge22","BAT15-099R","SOT-143_L2.9-W1.3-H1.0-LS2.4-P1.92","BAT15-099R"
"9","1","PZ2.54-1x5-11.2","H1","HDR-TH_5P-P2.54-V-M","","PZ2.54-1x5-11.2","ZHOURI(洲日)","C29779968","LCSC","","0.0042","gge30","PZ2.54-1x5-11.2","HDR-TH_5P-P2.54-M-LI-1X5P","PZ2.54-1x5-11.2"
"10","1","BLM18HE152SN1D","L1","L0603","","BLM18HE152SN1D","muRata(村田)","C82155","LCSC","","0.0093","gge6","BLM18HE152SN1D","L0603_L1.6-W0.8-H0.5_BEAD","BLM18HE152SN1D"
"11","1","10nH","L2","L0402-RD","10nH","LQG15HS10NJ02D","muRata(村田)","C77103","LCSC","","0.0028","gge21","LQG15HS10NJ02D","L0402-RD","10nH"
"12","1","BFP840FES","Q1","TSFP-4-1_L1.4-W0.8-P1.00-LS1.2-TL-1","","BFP840FES","Infineon(英飞凌)","C17500706","LCSC","","0.0844","gge16","BFP840FESDH6327XTSA1","TSFP-4-1_L1.4-W0.8-P1.00-LS1.2-TL-1","BFP840FES"
"13","2","100Ω","R1,R2","R0402","100Ω","FRC0402J101 TS","FOJAN(富捷)","C2906884","LCSC","","0.0003","gge12,gge13","FRC0402J101 TS","R0402_L1.0-W0.5-H0.4","100Ω"
"14","1","4.7kΩ","R3","R0402","4.7kΩ","FRC0402J472 TS","FOJAN(富捷)","C2906941","LCSC","","0.0003","gge20","FRC0402J472 TS","R0402_L1.0-W0.5-H0.4","4.7kΩ"
"15","1","1kΩ","R4","R0402","1kΩ","FRC0402J102 TS","FOJAN(富捷)","C2906899","LCSC","","0.0003","gge26","FRC0402J102 TS","R0402_L1.0-W0.5-H0.4","1kΩ"
"16","2","SMA-KE-10","RF1,RF2","SMA-TH_BWSMA-KE-Z001","","SMA-KE-10","Ziisor(致哲)","C2987686","LCSC","","0.0679","gge28,gge29","SMA-KE-10","SMA-TH_5P-L6.5-W6.5-H9.8_BWSMA-KE-Z001","SMA-KE-10"
"17","2","0Ω","R_TL1,R_TL2","R0402","0Ω","FRC0402P000 TS","FOJAN(富捷)","C2906877","LCSC","","0.0003","gge14,gge15","FRC0402P000 TS","R0402_L1.0-W0.5-H0.4","0Ω"
"18","1","ADP151AUJZ-3.3-R7","U1","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","","ADP151AUJZ-3.3-R7","ADI(亚德诺)","C61006","LCSC","","0.3098","gge1","ADP151AUJZ-3.3-R7","SOT-23-5_L2.9-W1.6-H1.1-LS2.8-P0.95","ADP151AUJZ-3.3-R7"
"19","1","MAX2750EUA+T","U2","MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-1","","MAX2750EUA+T","ADI(亚德诺)/MAXIM(美信)","C2682683","LCSC","","","gge7","MAX2750EUA+T","MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-1","MAX2750EUA+T"
