"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"C1","FCC0805X106K100FT","C0805","28.575mm","19.812mm","28.575mm","19.812mm","29.575mm","19.812mm","2","T","180","Yes","10uF","10uF"
"C2","TCC0805X7R104K500DT","C0805","23.598mm","20.069mm","23.598mm","20.069mm","24.598mm","20.069mm","2","T","180","Yes","100nF","100nF"
"C3","FCC0805X106K100FT","C0805","28.575mm","15.494mm","28.575mm","15.494mm","29.575mm","15.494mm","2","T","180","Yes","10uF","10uF"
"C4","0805CG101J500NT","C0805","28.575mm","17.702mm","28.575mm","17.702mm","29.575mm","17.702mm","2","T","180","Yes","100pF","100pF"
"C5","GCM1885C2A221JA16D","C0603","30.099mm","11.43mm","30.099mm","11.43mm","29.399mm","11.43mm","2","T","0","Yes","220pF","220pF"
"C6","TCC0805X7R104K500DT","C0805","38.1mm","13.716mm","38.1mm","13.716mm","38.1mm","14.716mm","2","T","270","Yes","100nF","100nF"
"C7","0805CG101J500NT","C0805","33.909mm","8.89mm","33.909mm","8.89mm","32.909mm","8.89mm","2","T","0","Yes","100pF","100pF"
"C8","CL10C220JB8NNNC","C0603","33.528mm","18.542mm","33.528mm","18.542mm","33.528mm","17.842mm","2","T","90","Yes","22pF","22pF"
"C9","CL10C220JB8NNNC","C0603","56.507mm","9.579mm","56.507mm","9.579mm","56.507mm","8.879mm","2","T","90","Yes","22pF","22pF"
"C10","CL10C220JB8NNNC","C0603","54.033mm","11.314mm","54.033mm","11.314mm","53.333mm","11.314mm","2","T","0","Yes","22pF","22pF"
"C11","0805CG101J500NT","C0805","49.484mm","9.839mm","49.484mm","9.839mm","49.484mm","8.839mm","2","T","90","Yes","100pF","100pF"
"C12","CL10C220JB8NNNC","C0603","48.832mm","17.397mm","48.832mm","17.397mm","48.832mm","16.697mm","2","T","90","Yes","22pF","22pF"
"C13","CL10C220JB8NNNC","C0603","50.766mm","17.438mm","50.766mm","17.438mm","50.766mm","16.738mm","2","T","90","Yes","22pF","22pF"
