"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","LCSC Price","JLCPCB Price","Unique ID","Device","3D Model Title","Name"
"1","2","10uF","C1,C2","C0603","10uF","CL10A106KP8NNNC","SAMSUNG(三星)","C19702","LCSC","","0.0055","gge8,gge11","CL10A106KP8NNNC","C0603_L1.6-W0.8-H0.8","10uF"
"2","4","100nF","C3,Cbyp,Cbyp1,Cbyp2","C0402","100nF","CL05B104KO5NNNC","SAMSUNG(三星)","C1525","LCSC","","0.0009","gge9,gge24,gge25,gge26","CL05B104KO5NNNC","C0402_L1.0-W0.5-H0.5","100nF"
"3","1","10nF","C4","C0402","10nF","CL05B103KB5NNNC","SAMSUNG(三星)","C15195","LCSC","","0.0008","gge10","CL05B103KB5NNNC","C0402_L1.0-W0.5-H0.5","10nF"
"4","2","1uF","C5,C7","C0402","1uF","TCC0402X5R105M6R3AT","CCTC(三环)","C2887021","LCSC","","0.0008","gge14,gge18","TCC0402X5R105M6R3AT","C0402_L1.0-W0.5-H0.5","1uF"
"5","1","100pF","C6","C0603","100pF","CL10C101JB8NNNC","SAMSUNG(三星)","C14858","LCSC","","0.0014","gge17","CL10C101JB8NNNC","C0603_L1.6-W0.8-H0.8","100pF"
"6","1","SS34","D1","SMA_L4.3-W2.6-LS5.2-RD","","SS34","MDD(辰达半导体)","C8678","LCSC","","0.0053","gge5","SS34_C8678","SMA_L4.3-W2.6-LS5.2-RD","SS34"
"7","1","B-2100S04P-A110","H1","HDR-TH_4P-P2.54-V-M","","B-2100S04P-A110","Ckmtw(灿科盟)","C124378","LCSC","","0.0084","gge22","B-2100S04P-A110","HDR-TH_4P-P2.54-M-LI-1X4P","B-2100S04P-A110"
"8","1","PZ254V-11-03P","H2","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","","PZ254V-11-03P","XFCN(兴飞)","C2937625","LCSC","","0.003","gge23","PZ254V-11-03P","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","PZ254V-11-03P"
"9","3","10kΩ","R1,R2,R4","R0402","10kΩ","FRC0402F1002TS","FOJAN(富捷)","C2906861","LCSC","","0.0004","gge12,gge13,gge16","FRC0402F1002TS","R0402_L1.0-W0.5-H0.4","10kΩ"
"10","3","1kΩ","R3,R5,R6","R0402","1kΩ","FRC0402J102 TS","FOJAN(富捷)","C2906899","LCSC","","0.0003","gge15,gge19,gge20","FRC0402J102 TS","R0402_L1.0-W0.5-H0.4","1kΩ"
"11","1","100kΩ","R7","RES-ADJ-TH_3296W","100kΩ","3296W-1-104LF","BOURNS","C48084","LCSC","","0.1208","gge21","3296W-1-104LF","RES-ADJ-TH_3296W","100kΩ"
"12","4","Screw-Hole-M2","SCREW?,SCREW?,SCREW?,SCREW?","Screw-Hole-M2","","","","","","0.4212","","","Screw-Hole-M2","",""
"13","1","Slide Switch","SW1","SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH","","Slide Switch","SHOU HAN(首韩)","C49023767","LCSC","","0.0125","gge4","MST-12D18G4 SPDT Slide Switch","SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH","Slide Switch"
"14","1","MCP6002DRG","U1","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","","MCP6002DRG","HGC(深圳汉芯)","C5145244","LCSC","","0.018","gge1","MCP6002DRG","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1","MCP6002DRG"
"15","1","AMS1117-5.0","U2","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","","AMS1117-5.0","TECH PUBLIC(台舟)","C18212701","LCSC","","0.0067","gge6","AMS1117-5.0_C18212701","SOT-223-4P_L6.5-W3.5-H1.6-LS7.0-P2.30","AMS1117-5.0"
"16","1","S2B-PH-K-S-GW","U3","CONN-TH_S2B-PH-K-S-GW","","S2B-PH-K-S-GW","JST","C157932","LCSC","","0.0262","gge3","S2B-PH-K-S-GW","CONN-TH_S2B-PH-K-S-GW","S2B-PH-K-S-GW"
"17","1","AP2112K-3.3TRG1","U4","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","","AP2112K-3.3TRG1","TECH PUBLIC(台舟)","C23380830","LCSC","","0.0165","gge7","AP2112K-3.3TRG1_C23380830","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","AP2112K-3.3TRG1"
"18","1","MCP6002-I/SN","U5","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","","MCP6002-I/SN","MICROCHIP(美国微芯)","C116706","LCSC","","0.0688","gge2","MCP6002-I/SN","SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27","MCP6002-I/SN"
